"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"22005","Ascension Parish, LA",".",".","38","7","0.1","0.074",".",".",".",".",".",".",".","."
"22015","Bossier Parish, LA",".",".",".",".","0.08","0.065","11","4","1",".",".",".",".","."
"22017","Caddo Parish, LA",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"22019","Calcasieu Parish, LA",".",".","37","6","0.09","0.072","33","7","1","15","7.3",".",".","."
"22033","East Baton Rouge Parish, LA","2.1","1.2","45","9","0.09","0.069","20","10","1","28","12.2","76","26","0"
"22047","Iberville Parish, LA",".",".","18","4","0.09","0.075",".",".",".",".",".",".",".","."
"22051","Jefferson Parish, LA",".",".","45","6","0.08","0.068",".",".",".","21","8",".",".","."
"22055","Lafayette Parish, LA",".",".",".",".","0.07","0.067",".",".",".","14","7.5","66","20","."
"22057","Lafourche Parish, LA",".",".",".",".","0.08","0.064",".",".",".",".",".",".",".","."
"22063","Livingston Parish, LA",".",".","16","4","0.09","0.07",".",".",".",".",".",".",".","."
"22071","Orleans Parish, LA","2.7","2.3","49","10",".",".",".",".",".","21","9","65","19","."
"22073","Ouachita Parish, LA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"22077","Pointe Coupee Parish, LA",".",".",".",".","0.1","0.069",".",".",".",".",".",".",".","."
"22079","Rapides Parish, LA",".",".",".",".",".",".",".",".",".","15","7.2",".",".","."
"22087","St. Bernard Parish, LA",".",".",".",".","0.08","0.063","82","23","3","22","9.2","63","17","."
"22093","St. James Parish, LA",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"22095","St. John the Baptist Parish, LA",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","0.01"
"22103","St. Tammany Parish, LA",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"22105","Tangipahoa Parish, LA",".",".",".",".",".",".",".",".",".","17","7.4",".",".","."
"22109","Terrebonne Parish, LA",".",".",".",".",".",".",".",".",".","16","6.9",".",".","."
"22121","West Baton Rouge Parish, LA",".",".","40","9","0.09","0.066","18","6","1","20","9",".",".","."
